Rank,Country,V1,Date of Information
1,South Africa,63.0,2014 est.
2,Namibia,59.1,2015 est.
3,Zambia,57.1,2015 est.
4,Sao Tome and Principe,56.3,2017 est.
5,Eswatini,54.6,2016 est.
6,Mozambique,54.0,2014 est.
7,Brazil,53.9,2018 est.
8,Hong Kong,53.9,2016
9,Botswana,53.3,2015 est.
10,Honduras,52.1,2018 est.
11,Angola,51.3,2018 est.
12,Saint Lucia,51.2,2016 est.
13,Papua New Guinea,50.9,1996
14,Guinea-Bissau,50.7,2010 est.
15,Colombia,50.4,2018 est.
16,Panama,49.2,2018 est.
17,"Congo, Republic of the",48.9,2011 est.
18,Guatemala,48.3,2014 est.
19,Costa Rica,48.0,2018 est.
20,Benin,47.8,2015 est.
21,Seychelles,46.8,2013 est.
22,Cameroon,46.5,2014 est.
23,Nicaragua,46.2,2014 est.
24,Paraguay,46.2,2018 est.
25,South Sudan,46.0,2010 est.
26,Saudi Arabia,45.9,2013 est.
27,Singapore,45.9,2017
28,Ecuador,45.4,2018 est.
29,Comoros,45.3,2014 est.
30,Lesotho,44.9,2017 est.
31,Malawi,44.7,2016 est.
32,Guyana,44.6,2007
33,Chile,44.4,2017 est.
34,Philippines,44.4,2015 est.
35,Zimbabwe,44.3,2017 est.
36,Dominican Republic,43.7,2018 est.
37,Rwanda,43.7,2016 est.
38,Central African Republic,43.6,2003 est.
39,Ghana,43.5,2016 est.
40,Chad,43.3,2011 est.
41,Togo,43.1,2015 est.
42,Peru,42.8,2018 est.
43,Uganda,42.8,2016 est.
44,Madagascar,42.6,2012 est.
45,Cabo Verde,42.4,2015 est.
46,Bolivia,42.2,2018 est.
47,"Congo, Democratic Republic of the",42.1,2012 est.
48,Turkey,41.9,2018 est.
49,Djibouti,41.6,2017 est.
50,Cote d'Ivoire,41.5,2015 est.
51,Argentina,41.4,2018 est.
52,Haiti,41.1,2012 est.
53,Qatar,41.1,2007
54,United States,41.1,2016 est.
55,Malaysia,41.0,2015 est.
56,Iran,40.8,2017 est.
57,Kenya,40.8,2015 est.
58,Turkmenistan,40.8,1998
59,Tanzania,40.5,2017 est.
60,Bulgaria,40.4,2017 est.
61,Senegal,40.3,2011 est.
62,Mali,40.1,2001
63,"Micronesia, Federated States of",40.1,2013 est.
64,Sri Lanka,39.8,2016 est.
65,Uruguay,39.7,2018 est.
66,Morocco,39.5,2013 est.
67,Tuvalu,39.1,2010 est.
68,Montenegro,39.0,2015 est.
69,Venezuela,39.0,2011
70,Samoa,38.7,2013 est.
71,Burundi,38.6,2013 est.
72,El Salvador,38.6,2018 est.
73,China,38.5,2016 est.
74,Gabon,38.0,2017 est.
75,Cambodia,37.9,2008 est.
76,Indonesia,37.8,2018 est.
77,Tonga,37.6,2015 est.
78,Vanuatu,37.6,2010 est.
79,Russia,37.5,2018 est.
80,Bhutan,37.4,2017 est.
81,Lithuania,37.3,2017 est.
82,Solomon Islands,37.1,2013 est.
83,Israel,37.0,2018 est.
84,Mauritius,36.8,2017 est.
85,Mexico,36.8,2018 est.
86,Uzbekistan,36.8,2003
87,Fiji,36.7,2013 est.
88,Yemen,36.7,2014 est.
89,Georgia,36.4,2018 est.
90,Laos,36.4,2012 est.
91,Thailand,36.4,2018 est.
92,New Zealand,36.2,1997
93,Serbia,36.2,2017 est.
94,Falkland Islands (Islas Malvinas),36.0,2015
95,Romania,36.0,2017 est.
96,"Gambia, The",35.9,2015 est.
97,Italy,35.9,2017 est.
98,India,35.7,2011 est.
99,Sierra Leone,35.7,2018 est.
100,Vietnam,35.7,2018 est.
101,Latvia,35.6,2017 est.
102,"Korea, South",35.4,2015 est.
103,Burkina Faso,35.3,2014 est.
104,Liberia,35.3,2016 est.
105,Nigeria,35.1,2018 est.
106,Ethiopia,35.0,2015 est.
107,Jamaica,35.0,2016
108,Macau,35.0,2013
109,Luxembourg,34.9,2017 est.
110,United Kingdom,34.8,2016 est.
111,Spain,34.7,2017 est.
112,Armenia,34.4,2018 est.
113,Australia,34.4,2014 est.
114,Greece,34.4,2017 est.
115,Niger,34.3,2014 est.
117,Sudan,34.2,2014 est.
118,Tajikistan,34.0,2015 est.
119,Greenland,33.9,2015 est.
120,Portugal,33.8,2017 est.
121,Azerbaijan,33.7,2008
122,Gaza Strip,33.7,2016 est.
123,Guinea,33.7,2012 est.
124,Jordan,33.7,2010 est.
125,West Bank,33.7,2016 est.
126,Taiwan,33.6,2014
127,Pakistan,33.5,2015 est.
128,Canada,33.3,2017 est.
129,Albania,33.2,2017 est.
130,Bosnia and Herzegovina,33.0,2011 est.
131,Japan,32.9,2013 est.
132,Ireland,32.8,2016 est.
133,Nepal,32.8,2010 est.
134,Tunisia,32.8,2015 est.
135,Mongolia,32.7,2018 est.
136,Switzerland,32.7,2017 est.
137,Mauritania,32.6,2014 est.
138,United Arab Emirates,32.5,2014 est.
139,Bangladesh,32.4,2016 est.
140,Germany,31.9,2016 est.
141,Lebanon,31.8,2011 est.
142,France,31.6,2017 est.
143,Egypt,31.5,2017 est.
144,Cyprus,31.4,2017 est.
145,Maldives,31.3,2016 est.
146,Burma,30.7,2017 est.
147,Hungary,30.6,2017 est.
148,Croatia,30.4,2017 est.
149,Estonia,30.4,2017 est.
150,Austria,29.7,2017 est.
151,Poland,29.7,2017 est.
152,Iraq,29.5,2012 est.
153,Afghanistan,29.4,2008
154,Malta,29.2,2017 est.
155,Kosovo,29.0,2017 est.
156,Sweden,28.8,2017 est.
157,Denmark,28.7,2017 est.
158,Timor-Leste,28.7,2014 est.
159,Netherlands,28.5,2017 est.
160,Kyrgyzstan,27.7,2018 est.
161,Algeria,27.6,2011 est.
162,Kazakhstan,27.5,2017 est.
163,Belgium,27.4,2017 est.
164,Finland,27.4,2017 est.
165,Norway,27.0,2017 est.
166,Iceland,26.8,2015 est.
167,Ukraine,26.1,2018 est.
168,Moldova,25.7,2018 est.
169,Belarus,25.2,2018 est.
170,Slovakia,25.2,2016 est.
171,Czechia,24.9,2017 est.
172,Slovenia,24.2,2017 est.
173,Faroe Islands,22.7,2013 est.
174,Jersey,0.3,2014 est.
